Material	U	c1	c2	JFP
a-TiO2	0.0	1.0	-0.036734693877551	5.4445536675322295
a-TiO2	0.1020408163265306	0.5	-0.036734693877551	5.157682557563733
a-TiO2	0.2040816326530612	0.5	-0.5387755102040817	5.383443124358522
a-TiO2	0.3061224489795918	0.5	-0.563265306122449	5.240861851887076
a-TiO2	0.4081632653061224	0.5	-0.5877551020408163	5.0847948439521655
a-TiO2	0.5102040816326531	0.5	-0.6	4.947806954634984
a-TiO2	0.6122448979591837	0.5	-0.6	4.843155641685626
a-TiO2	0.7142857142857143	0.5	-0.6	4.799818199846949
a-TiO2	0.8163265306122449	0.5	-0.6	4.771902047333946
a-TiO2	0.9183673469387756	0.5	-0.6	4.730101561841314
a-TiO2	1.020408163265306	0.5	-0.6	4.674307797534436
a-TiO2	1.1224489795918369	0.5204081632653061	-0.6	4.6294853978068895
a-TiO2	1.2244897959183674	0.5714285714285714	-0.6	4.596806257978858
a-TiO2	1.326530612244898	0.6224489795918368	-0.6	4.591710802630524
a-TiO2	1.4285714285714286	0.6632653061224489	-0.6	4.628997154154779
a-TiO2	1.530612244897959	0.7040816326530612	-0.6	4.705841895698902
a-TiO2	1.6326530612244898	0.7346938775510204	-0.6	4.806937430162124
a-TiO2	1.7346938775510203	0.7653061224489797	-0.6	4.908026896286053
a-TiO2	1.836734693877551	0.7959183673469388	-0.6	4.983834762500675
a-TiO2	1.9387755102040816	0.8163265306122449	-0.6	5.014017487607637
a-TiO2	2.0408163265306123	0.8367346938775511	-0.6	4.992731715662146
a-TiO2	2.142857142857143	0.8571428571428572	-0.6	4.929877699991497
a-TiO2	2.2448979591836737	0.8775510204081632	-0.6	4.84796606410749
a-TiO2	2.346938775510204	0.8877551020408163	-0.6	4.77069682519193
a-TiO2	2.4489795918367347	0.9081632653061223	-0.6	4.715791093894473
a-TiO2	2.5510204081632653	0.9183673469387756	-0.6	4.68799784014383
a-TiO2	2.653061224489796	0.9285714285714286	-0.6	4.684551706556475
a-TiO2	2.7551020408163267	0.9387755102040816	-0.6	4.696366604484025
a-TiO2	2.857142857142857	0.9591836734693876	-0.6	4.711950506494281
a-TiO2	2.959183673469388	0.9693877551020408	-0.6	4.722258793669456
a-TiO2	3.0612244897959187	0.979591836734694	-0.6	4.720607948004204
a-TiO2	3.163265306122449	0.9897959183673468	-0.6	4.706891308022948
a-TiO2	3.26530612244898	0.9897959183673468	-0.6	4.687114868191401
a-TiO2	3.36734693877551	1.0	-0.6	4.672628738462843
a-TiO2	3.4693877551020407	1.0	-0.6	4.67727195374241
a-TiO2	3.571428571428572	1.0	-0.6	4.703162772258834
a-TiO2	3.673469387755102	1.0	-0.6	4.745240699289544
