Support	U	c1	c2	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	DFT+U_x1	DFT+U_x2	DFT+U_x3	DFT+U_x4	DFT+U_x5	DFT+U_x6	DFT+U_x7	DFT+U_p1	DFT+U_p2	DFT+U_p3	SISSO_x1	SISSO_x2	SISSO_x3	SISSO_x4	SISSO_x5	SISSO_x6	SISSO_x7	SISSO_p1	SISSO_p2	SISSO_p3	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval
a-TiO2	1.5	1	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16484	0.1445	0.3266	0.1445	0.28952	0	0	1.698655	1.67159	1.698655	0.159016343	0.151165097	0.312224189	0.151927861	0.273854464	-9.35036E-07	-1.27976E-06	1.702414762	1.626179113	1.691003594	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15891	0.13829	0.31482	0.13829	0.27222	0	0	1.72151	1.68521	1.721515	0.158576662	0.144454069	0.291443518	0.149937015	0.26033331	-9.35036E-07	-1.27976E-06	1.728658946	1.63938268	1.711304167	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15318	0.13235	0.30168	0.13235	0.25384	0	0	1.745695	1.70035	1.745695	0.158136982	0.137053803	0.27124643	0.146652437	0.246811622	-9.35036E-07	-1.27976E-06	1.735090701	1.648845333	1.731129945	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1475	0.12668	0.28729	0.12668	0.23485	0	0	1.771105	1.71726	1.771105	0.157697301	0.128580601	0.251957809	0.141751166	0.233292238	-9.35036E-07	-1.27976E-06	1.75573966	1.65564201	1.750496145	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18148	0.16157	0.35571	0.16157	0.3308	0	0	1.6501	1.643875	1.650105	0.161702805	0.163627107	0.372160635	0.152944414	0.31421649	-9.35036E-07	-1.27976E-06	1.645906569	1.585020494	1.64458179	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17617	0.15606	0.35208	0.15606	0.32384	0	0	1.66271	1.649665	1.662715	0.163070225	0.157472534	0.350908948	0.152679452	0.301981934	-9.35036E-07	-1.27976E-06	1.675260981	1.611538815	1.659672321	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1709	0.15064	0.34806	0.15064	0.31611	0	0	1.675945	1.655895	1.675955	0.164437645	0.151100366	0.329841972	0.151735103	0.289747204	-9.35036E-07	-1.27976E-06	1.684367863	1.630105661	1.674515994	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16569	0.14534	0.34357	0.14534	0.30748	0	0	1.6899	1.66265	1.689905	0.165805064	0.144249485	0.309181361	0.149816634	0.277511932	-9.35036E-07	-1.27976E-06	1.704187886	1.643309228	1.688900569	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16058	0.14018	0.33852	0.14018	0.29786	0	0	1.70465	1.67001	1.704655	0.167172484	0.136554331	0.28923743	0.146615817	0.2652724	-9.35036E-07	-1.27976E-06	1.704195482	1.652771881	1.702810349	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	-0.2	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15546	0.13519	0.33291	0.13519	0.28711	0	0	1.720375	1.67823	1.72038	0.168539904	0.127544896	0.270409154	0.141819596	0.253051294	-9.35036E-07	-1.27976E-06	1.718420281	1.659568558	1.716260551	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18523	0.16496	0.36361	0.16496	0.33999	0	0	1.64349	1.63967	1.64349	0.162970444	0.163625877	0.38886742	0.151321691	0.327018301	-9.35036E-07	-1.27976E-06	1.640707989	1.582171382	1.64076645	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18041	0.16014	0.3637	0.16014	0.33805	0	0	1.649025	1.6409	1.649025	0.165605502	0.157452847	0.367632105	0.151492064	0.31594749	-9.35036E-07	-1.27976E-06	1.663638241	1.608689703	1.649940982	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17555	0.15535	0.3638	0.15535	0.33592	0	0	1.654675	1.64216	1.654675	0.168240561	0.151000697	0.346636073	0.150814592	0.304876088	-9.35036E-07	-1.27976E-06	1.666320963	1.627256549	1.658868658	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17068	0.1506	0.3639	0.1506	0.33356	0	0	1.66044	1.643465	1.66044	0.170875619	0.143934483	0.326166465	0.149092971	0.293802859	-9.35036E-07	-1.27976E-06	1.679716827	1.640460116	1.667337234	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16579	0.14592	0.36401	0.14592	0.33091	0	0	1.66633	1.64482	1.666335	0.173510677	0.135785282	0.306625278	0.146062575	0.282715249	-9.35036E-07	-1.27976E-06	1.673300262	1.649922769	1.675331016	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	-0.3	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16093	0.14131	0.36411	0.14131	0.32792	0	0	1.67237	1.646245	1.672375	0.176145736	0.125950197	0.288529364	0.141434336	0.271689829	-9.35036E-07	-1.27976E-06	1.681100902	1.656719446	1.68286522	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18848	0.16781	0.37022	0.16781	0.34749	0	0	1.63709	1.635695	1.63709	0.163979609	0.163623768	0.404760373	0.14695126	0.339326086	-9.35036E-07	-1.27976E-06	1.63550941	1.574463218	1.637791372	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18365	0.16315	0.37242	0.16315	0.34849	0	0	1.635865	1.6328	1.63587	0.167623833	0.157419116	0.383555161	0.148282751	0.329307746	-9.35036E-07	-1.27976E-06	1.652015502	1.600981539	1.641049906	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17875	0.15852	0.37479	0.15852	0.34961	0	0	1.634365	1.62979	1.634365	0.171268057	0.150829936	0.362689573	0.148294107	0.319288004	-9.35036E-07	-1.27976E-06	1.648274063	1.619548386	1.644061584	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17379	0.15393	0.37734	0.15393	0.35083	0	0	1.632555	1.62667	1.632555	0.17491228	0.143394793	0.342571159	0.147044654	0.309263932	-9.35036E-07	-1.27976E-06	1.655245767	1.632751952	1.646614162	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16879	0.1494	0.38006	0.1494	0.35216	0	0	1.630405	1.62346	1.630405	0.178556504	0.134467681	0.32377049	0.144377776	0.299205771	-9.35036E-07	-1.27976E-06	1.642405043	1.642214606	1.648691946	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	-0.4	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16377	0.14495	0.38294	0.14495	0.35359	0	0	1.62789	1.62016	1.627895	0.182200728	0.123218017	0.307021155	0.140059617	0.289295024	-9.35036E-07	-1.27976E-06	1.643781522	1.649011282	1.650310151	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.19121	0.17011	0.37568	0.17011	0.35344	0	0	1.630845	1.631895	1.63085	0.164831811	0.163619405	0.419881215	0.137734896	0.351162348	-9.35036E-07	-1.27976E-06	1.63031083	1.558423672	1.635656557	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18584	0.16505	0.37862	0.16505	0.35554	0	0	1.622945	1.6251	1.622945	0.169328236	0.1573493	0.398749583	0.141507694	0.342095589	-9.35036E-07	-1.27976E-06	1.640392762	1.584941993	1.632999093	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1804	0.16007	0.38179	0.16006	0.35788	0	0	1.614315	1.61812	1.61432	0.173824662	0.15047649	0.378202846	0.142952521	0.33302609	-9.35036E-07	-1.27976E-06	1.630227164	1.603508839	1.630094773	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1749	0.15518	0.38516	0.15517	0.36047	0	0	1.604905	1.61099	1.604905	0.178321087	0.142277729	0.358942876	0.142661712	0.323948134	-9.35036E-07	-1.27976E-06	1.630774708	1.616712406	1.626731353	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16939	0.15042	0.3887	0.15042	0.36328	0	0	1.594655	1.60375	1.594655	0.182817512	0.131740474	0.341952297	0.140700416	0.314803599	-9.35036E-07	-1.27976E-06	1.611509823	1.626175059	1.622893139	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16389	0.14583	0.39239	0.14583	0.3663	0	0	1.583505	1.59645	1.583505	0.187313938	0.117562882	0.328494479	0.136945198	0.305946983	-9.35036E-07	-1.27976E-06	1.606462143	1.632971736	1.618595346	147	1.54	3	5	0	2	2.7
