Material	U	c1	c2	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3
ZrO2	1.020408163	0.704081633	-0.183673469	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	1.530612245	0.734693878	-0.47755102	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	1.836734694	0.755102041	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	2.244897959	0.785714286	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	2.653061224	0.806122449	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	2.755102041	0.816326531	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	2.857142857	0.826530612	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	2.959183673	0.836734694	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	3.06122449	0.836734694	0	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
ZrO2	3.367346939	0.867346939	-0.195918367	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.1801	0.09096	0	0	2.083645	1.25095	2.01872
WO3	1.020408163	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	1.530612245	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	1.836734694	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	2.244897959	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	2.653061224	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	2.755102041	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	2.857142857	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	2.959183673	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	3.06122449	0.5	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
WO3	3.367346939	1	0	139	2.36	5	5	0	0	0	0.39437625	0.4163175	0.3796725	0.40005625	0.36303875	0	0	1.532489583	1.54704375	1.506700833
Cu2O	1.020408163	1	-0.6	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	1.530612245	1	-0.6	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	1.836734694	1	-0.6	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	2.244897959	1	-0.575510204	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	2.653061224	1	-0.551020408	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	2.755102041	1	-0.551020408	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	2.857142857	1	-0.53877551	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	2.959183673	1	-0.53877551	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	3.06122449	1	-0.53877551	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
Cu2O	3.367346939	1	-0.526530612	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0	0	1.49502	1.49502	1.49502
MoO3	1.020408163	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	1.530612245	0.989795918	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	1.836734694	1	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
